單字,翻譯
combat,(n.)戰鬥、格鬥、反對
combination,(n.)組合
combine,(v.)使結合
come,(v.)到來
comedian,(n.)喜劇演員
comedy,(n.)喜劇
comet,(n.)彗星
comfort,(n.)安逸、舒適
comfort,(v.)安慰、慰問
comfortable,(adj.)舒適的
comic,(n.)漫畫
comic,(adj.)滑稽的
comma,(n.)逗號、停頓
command,(v.)命令、掌握、 指揮、控制
command,(n.)命令
commander,(n.)指揮官、司令官
commemorate,(v.)慶祝、紀念
commence,(v.)開始、著手、得學位
comment,(n.)評論
comment,(v.)評論
commentary,(n.)評論、註釋
commentator,(n.)(電臺、電視臺等)時事評論者
commerce,(n.)商業、貿易、交易
commercial,(adj.)商業的、商務的
commercial,(n.)商業廣告
commission,(v.)委任、委託
commission,(n.)佣金
commit,(v.)使作出保證、犯(罪)、做(錯事等)
commitment,(n.)託付、交託、 承諾、 保證
committee,(n.)委員會
commodity,(n.)商品、日用品
common,(n.)公共用地、公有地
common,(adj.)常見的
commonplace,(n.)司空見慣的事、老生常談
commonplace,(adj.)平凡的、普通的
communicate,(v.)傳達、傳遞
communication,(n.)交往、通信
communicative,(adj.)愛說話的、交際的
communism,(n.)共產主義
communist,(adj.)共產主義的
communist,(n.)共產主義者
community,(n.)社區
commute,(v.)減刑、通勤
commuter,(n.)通勤者
compact,(adj.)緊密的、結實的、小型的
compact,(v.)使緊密、壓緊、使簡潔
compact,(n.)連鏡小粉盒、小型轎車
compact disk,(n.)光碟
companion,(n.)同伴、伴侶
companionship,(n.)友誼、交往、伴侶關係
company,(n.)公司
comparable,(adj.)可比較的、比得上的
comparative,(adj.)比較的、相對的
compare,(v.)比較
comparison,(n.)比較、對照
compass,(v.)圖謀、計劃、包圍、達到、理解
compass,(n.)羅盤、指南針、圓規
compassion,(n.)憐憫、同情
compassionate,(adj.)有同情心的、慈悲的
compatible,(adj.)能共處的、可並立的、相容的
compel,(v.)強迫、強求
compensate,(v.)補償、賠償、酬報
compensation,(n.)補償、賠償、報酬
compete,(v.)競爭、對抗
competence,(n.)能力、勝任、稱職
competent,(adj.)有能力的、能幹的、能勝任的
competition,(n.)競爭、角逐
competitive,(adj.)競爭的
competitor,(n.)競爭者、對手
compile,(v.)匯編、收集(資料等)、編譯(程式)
complain,(v.)抱怨
complaint,(n.)抱怨、抗議、怨言
complement,(n.)補充物、補足物
complement,(v.)補充、補足、與...相配
complete,(v.)完成
complete,(adj.)完整的、徹底的
completion,(n.)完成、實現
complex,(adj.)複雜的
complex,(n.)複合物
complexion,(n.)面色、膚色
complexity,(n.)複雜(性)、錯綜(性)
complicate,(v.)使複雜化
complication,(n.)複雜(化)、併發症、(新出現的)困難
compliment,(v.)讚美、恭維
compliment,(n.)恭維、問候、致意
component,(adj.)組成的、構成的
component,(n.)構成要素、零件、成分
compose,(v.)作(詩、曲等)、構(圖)
composer,(n.)作曲家
composition,(n.)寫作、作曲、作品、作文
compound,(n.)混合物
compound,(v.)使惡化、使混合、使合成、以複利計算、 妥協
compound,(adj.)合成的、複合的
comprehend,(v.)理解、領會、包含
comprehension,(n.)理解、理解力
comprehensive,(adj.)廣泛的、綜合的
comprise,(v.)包括、由...組成
compromise,(n.)妥協、危及、(原則等的)放棄
compromise,(v.)妥協、危及、洩露(祕密等)
compute,(v.)計算、估算、推斷
computer,(n.)電腦
computerize,(v.)使電腦化、用電腦處理
comrade,(n.)夥伴、同事、(共產黨的)同志
conceal,(v.)隱蔽、隱藏
concede,(v.)(勉強)承認、讓步、承認失敗
conceit,(n.)自滿、自負
conceive,(v.)構想出、設想、懷孕
concentrate,(v.)濃縮、全神貫注
concentration,(n.)專心、濃縮
concept,(n.)概念、觀念
conception,(n.)概念、創始
concern,(n.)關懷
concern,(v.)使擔心
concerning,(prep.)關於
concert,(n.)音樂會、演奏會
concession,(n.)讓步、讓予物
concise,(adj.)簡明的
conclude,(v.)推斷出、斷定
conclusion,(n.)結論、推論
concrete,(n.)混凝土
concrete,(v.)使凝固、使結合
concrete,(adj.)具體的
condemn,(v.)責備、譴責、判刑
condense,(v.)濃縮、縮短、凝結
condition,(v.)決定、為...的條件
condition,(n.)情況、條件
conduct,(n.)行為、品行、舉動
conduct,(v.)引導、帶領
conductor,(n.)指揮
cone,(n.)圓錐體、圓錐形
confer,(v.)授予(學位等)、給予、協商
conference,(n.)(正式)會議、討論會、協商會
confess,(v.)坦白、供認、承認
confession,(n.)承認、供認、告解
confidence,(n.)自信、信心、把握
confident,(adj.)有信心的
confidential,(adj.)祕密的、機密的
confine,(v.)限制、使局限
confirm,(v.)確認
conflict,(v.)矛盾、衝突
conflict,(n.)抵觸、不一致
conform,(v.)遵照、符合、使一致
confront,(v.)面臨、遭遇
confrontation,(n.)對抗
confuse,(v.)使迷惑
confusion,(n.)困惑、慌亂
congratulate,(v.)祝賀、恭禧
congratulation,(n.)祝賀
congress,(n.)立法機關
congressman,(n.)美國眾議院議員
congresswoman,(n.)國會女議員、女眾議員
conjunction,(n.)連接詞、結合、關聯
connect,(v.)連接、連結
connection,(n.)連接、聯絡、銜接
conquer,(v.)克服、征服
conquest,(n.)征服、克服、佔領
conscience,(n.)良心、道義心
conscientious,(adj.)憑良心的、誠實的、認真的
conscious,(adj.)神志清醒的、有知覺的
consensus,(n.)一致、合意、輿論
consent,(v.)同意、贊成
consent,(n.)同意、贊成
consequence,(n.)結果、後果
consequent,(adj.)隨之發生的
conservation,(n.)保存、(對自然資源的)保護
conservative,(n.)保守者、守舊者
conservative,(adj.)保守的、守舊的
conserve,(v.)保存、保護、節省
conserve,(n.)糖漬食品、蜜餞、果醬
consider,(v.)考慮
considerable,(adj.)相當大的、相當多的
considerate,(adj.)體諒的
consideration,(n.)考慮
consist,(v.)組成、構成
consistent,(adj.)始終如一的、前後一致的
consolation,(n.)安慰、慰藉
console,(v.)安慰、慰問
console,(n.)操縱臺
consonant,(n.)子音
conspiracy,(n.)陰謀、謀叛、共謀
constant,(n.)常數、衡量、不變的事物
constant,(adj.)固定的、不變的
constituent,(adj.)構成(全體)的、組成的、選舉的
constituent,(n.)成分、組成的要素、選民
constitute,(v.)構成、組成
constitution,(n.)憲法、章程、法規
constitutional,(n.)保健散步、保健運動
constitutional,(adj.)憲法的、生來的
construct,(v.)建造、構成
construction,(n.)建造、建設
constructive,(adj.)建設性的、積極的、有助益的
consult,(v.)與...商量
consultant,(n.)顧問
consultation,(n.)諮詢、商議
consume,(v.)消耗、花費、耗盡
consumer,(n.)消費者、消耗者
consumption,(n.)消耗、用盡、消耗量
contact,(n.)接觸、隱形眼鏡
contact,(v.)接觸、聯繫
contagious,(adj.)接觸傳染的、(感情等)感染性的
contain,(v.)包含、容納
container,(n.)容器
contaminate,(v.)弄髒、污染
contemplate,(v.)凝視、思忖、仔細考慮
contemplation,(n.)凝視、沈思、冥想
contemporary,(n.)同時代的人、同年齡的人、同時期的東西
contemporary,(adj.)當代的
contempt,(n.)輕視、(對法庭等的)藐視
contend,(v.)爭取、競爭、搏鬥、聲稱
content,(n.)內容、要旨
content,(v.)使滿足
content,(adj.)滿意的、甘願的
contentment,(n.)知足、滿意
contest,(v.)競爭、角逐、爭辯
contest,(n.)爭奪、競爭
contestant,(n.)參加競賽者、角逐者
context,(n.)上下文、文章脈絡
continent,(n.)大陸、陸地、大洲
continental,(adj.)洲的、大陸的
continual,(adj.)不間斷的、連續的
continue,(v.)繼續
continuity,(n.)連續性、一貫性
continuous,(adj.)連續的、不斷的
contract,(n.)和約
contract,(v.)締結、訂契約、承包、收縮
contractor,(n.)承包商、立契約者
contradict,(v.)否定(陳述等)、反駁、與...矛盾
contradiction,(n.)矛盾、否認、反駁
contrary,(adj.)相反的、對立的
contrary,(n.)相反、反面、對立的一方
contrast,(v.)使對比、使對照
contrast,(n.)對比、對照
contribute,(v.)捐獻、捐助、貢獻、出力
contribution,(n.)貢獻
control,(n.)支配、控制、操縱裝置、指揮部
control,(v.)控制
controller,(n.)主計官、主管、控制器
controversial,(adj.)有爭議的、好議論的
controversy,(n.)爭論、爭議
convenience,(n.)方便、合宜
convenient,(adj.)方便的
convention,(n.)會議、大會
conventional,(adj.)習慣的、慣例的
conversation,(n.)會話
converse,(v.)交談、談話
convert,(v.)轉變、變換、改變信仰
convey,(v.)運送、傳達
convict,(n.)(服刑的)囚犯
convict,(v.)證明...有罪、判...有罪
conviction,(n.)定罪、證明有罪、確信
convince,(v.)使信服、說服
cook,(n.)廚師
cook,(v.)煮
cooker,(n.)炊具、烹調器具
cookie,(n.)餅乾
cooky,(n.)cookie
cool,(n.)涼爽
cool,(v.)使涼快、使冷卻
cool,(adj.)涼快的、很棒的、酷
cooperate,(v.)合作、協作、(事物)配合
cooperation,(n.)合作、協力
cooperative,(adj.)合作的、合作社的
cooperative,(n.)合作社、合作商店
coordinate,(v.)協調、調節、 協調一致
coordinate,(adj.)同等重要的、座標的、對等的
coordinate,(n.)同等的人(或物)、座標
cop,(n.)警察
cope,(v.)競爭
copper,(n.)銅
copper,(adj.)紅銅色的
copy,(n.)拷貝、副本
copy,(v.)拷貝、抄襲
copyright,(n.)版權、著作權
copyright,(v.)為(書籍等)取得版權
coral,(n.)珊瑚
coral,(adj.)珊瑚的、珊瑚色的
cord,(n.)細繩、粗線、索
cordial,(adj.)熱忱的、衷心的
core,(n.)果核、精髓、要義
core,(v.)挖去...的果核
cork,(v.)用軟木塞塞住、抑制
cork,(n.)軟木、軟木塞
corn,(n.)玉米
corner,(n.)角落
corporate,(adj.)法人(組織)的、團體的、共同的
corporation,(n.)股份(有限)公司
corps,(n.)兵團、部隊、團
corpse,(n.)屍體、殘骸
correct,(v.)改正、糾正
correct,(adj.)正確的
correspond,(v.)符合、一致
correspondence,(n.)一致、相對應、通信、(總稱)信件
correspondent,(n.)通信者、通訊記者
corridor,(n.)迴廊、通道
corrupt,(adj.)腐敗的、貪污的
corrupt,(v.)使腐敗、使墮落、賄賂
corruption,(n.)墮落、腐化、貪污、賄賂
cosmetic,(adj.)化妝用的、裝飾性的、表面的
cosmetics,(n.)化妝品、美容品
cosmopolitan,(adj.)世界性的、國際性的
cosmopolitan,(n.)世界主義者、四海為家者
cost,(v.)花費
cost,(n.)費用、成本
costly,(adj.)昂貴的、代價高的
costume,(n.)服裝、裝束
cottage,(n.)小屋
cotton,(n.)棉花
couch,(n.)長沙發
couch,(v.)使躺下、表達、蹲著、埋伏
cough,(v.)咳嗽
cough,(n.)咳嗽
council,(n.)會議
counsel,(v.)忠告、提議
counsel,(n.)商議、忠告、法律顧問
counselor,(n.)顧問、(學生的)輔導員、律師
count,(n.)計數、計算
count,(v.)計算、數
countable,(adj.)可計算的、可數的
counter,(adj.)相反的、反對的、對立的
counter,(adv.)反方向地、相反地
counter,(v.)反對、反擊
counter,(n.)櫃臺
counterclockwise,(adv.)逆時針方向地
counterclockwise,(adj.)逆時針方向的
counterpart,(n.)對應的人(或物)
country,(n.)國家、鄉下
countryside,(n.)鄉間、農村
county,(n.)郡
couple,(v.)連接、結合、成婚、交配
couple,(n.)一對
coupon,(n.)回數票、減價優待券
courage,(n.)勇氣
courageous,(adj.)英勇的、勇敢的
course,(n.)課程、科目
course,(v.)(用獵犬)追獵、追逐
court,(n.)法庭、(網球等的)場地
court,(v.)向...獻殷勤、追求、引誘、求婚
courteous,(adj.)有禮貌的
courtesy,(n.)禮貌
courtyard,(n.)庭院、天井
cousin,(n.)表(堂)兄弟姊妹
cover,(n.)封面
cover,(v.)蓋住
coverage,(n.)覆蓋範圍、保險項目、新聞報導
covet,(v.)垂涎、貪圖
cow,(n.)母牛
coward,(n.)懦夫、膽怯者
cowardly,(adj.)膽小的、懦怯的
cowboy,(n.)牛仔
cozy,(adj.)舒適的、愜意的
crab,(n.)螃蟹
crack,(n.)裂縫、爆裂聲
crack,(v.)砸開
cracker,(n.)(淡或鹹的)薄脆餅乾、鞭炮
cradle,(n.)搖籃
cradle,(v.)撫育
craft,(n.)工藝、手藝
cram,(v.)把...塞滿、死記硬背
cramp,(n.)抽筋、夾鉗、束縛
cramp,(v.)用夾鉗夾緊、限制、約束
crane,(n.)起重機、吊車
crane,(v.)伸(頸)
crash,(v.)碰撞、倒下、墜落
crash,(n.)相撞(事故)
crater,(v.)使成坑、 形成坑
crater,(n.)火山口、巨大坑洞
crawl,(v.)爬行、蠕動
crawl,(n.)緩慢的行進
crayon,(n.)蠟筆
crazy,(adj.)古怪的、著迷的
creak,(v.)發出咯吱咯吱聲
creak,(n.)咯吱咯吱聲
cream,(n.)奶油
cream,(adj.)奶油色的、淡黃色的、乳黃色的
create,(v.)創造
creation,(n.)創造、創作、創立
creative,(adj.)有創造力(或想像力)的
creativity,(n.)創造力
creator,(n.)創造者、創作者
creature,(n.)生物、動物
credibility,(n.)可信性、確實性
credible,(adj.)可信的、可靠的
credit,(v.)把...記入貸方
credit,(n.)信用、貸方
creek,(n.)小河、溪
creep,(v.)躡手躡足地走
crew,(n.)全體船員
crib,(n.)嬰兒床
crib,(v.)作弊、抄襲
cricket,(n.)蟋蟀
crime,(n.)犯罪
criminal,(adj.)犯罪的、犯法的
criminal,(n.)罪犯
cripple,(v.)使成跛子、使殘廢
cripple,(n.)跛子、殘廢的人
crisis,(n.)危機、緊急關頭
crisp,(adj.)脆的、酥的、鬆脆的
crispy,(adj.)酥脆的、清脆的
criterion,(n.)(判斷、批評的)標準、尺度
critic,(n.)批評家、評論家
critical,(adj.)緊要的、關鍵性的、危急的
criticism,(n.)批評、評論
criticize,(v.)批評、批判、苛求
crocodile,(n.)鱷魚
crook,(v.)使彎曲、成鉤形
crook,(n.)彎曲的東西、騙子、偷兒
crooked,(adj.)彎曲的、欺詐的、不正派的
crop,(n.)作物
crop,(v.)收成
cross,(v.)越過、渡過
cross,(n.)十字架
crossing,(n.)交叉、交叉點、橫穿、雜交
crouch,(v.)蹲伏、彎腰
crouch,(n.)蹲伏(姿勢)
crow,(n.)鴉、烏鴉
crow,(v.)得意洋洋、幸災樂禍
crowd,(v.)擠滿、聚集
crowd,(n.)群眾
crown,(v.)為...加冕
crown,(n.)王冠
crucial,(adj.)決定性的、重要的
crude,(adj.)未經加工的、粗野的、粗糙的
cruel,(adj.)殘酷的
cruelty,(n.)殘酷、殘忍
cruise,(n.)巡航、航遊、巡邏
cruise,(v.)巡航、航遊、緩慢巡行
cruiser,(n.)巡洋艦、遊艇、警察巡邏車
crumb,(n.)麵包屑、碎屑、少許
crumble,(v.)粉碎、崩潰、(希望等)破滅
crumble,(n.)酥皮點心(水果派)
crunch,(v.)嘎吱作響地咬嚼(或踩、壓)
crunch,(n.)嘎吱吱(咬嚼)聲音、關鍵時刻
crunchy,(adj.)發嘎吱嘎吱聲的、易碎的
crush,(v.)壓碎、壓壞
crush,(n.)壓碎、毀壞、 迷戀、迷戀的對象
crust,(v.)結成外殼、覆有硬皮
crust,(n.)麵包皮、派餅皮、硬外皮
crutch,(n.)丁形柺杖
cry,(v.)哭叫
cry,(n.)叫喊、呼叫、(一陣)哭
crystal,(adj.)水晶的
crystal,(n.)水晶
cub,(n.)幼鯨、牛棚
cube,(v.)使成立方形、切成小方塊
cube,(n.)立方體、立方
cucumber,(n.)黃瓜、胡瓜
cue,(v.)給...暗示
cue,(n.)暗示、信號
cuisine,(n.)烹飪(法)、菜餚
cultivate,(v.)栽培(作物等)、養殖(魚等)、培育
cultural,(adj.)教養的、人文的
culture,(n.)文化
cumulative,(adj.)漸增的、蓄積的、累計的
cunning,(adj.)狡猾的、奸詐的
cunning,(n.)狡猾、奸詐、靈巧、熟練
cup,(v.)使(手掌)成杯狀、把...放入杯內
cup,(n.)杯子
cupboard,(n.)食櫥、碗櫃
curb,(n.)人行道旁的水泥(或石)邊、抑制
curb,(v.)控制、遏止、勒住
cure,(v.)治癒
cure,(n.)痊癒
curiosity,(n.)好奇心
curious,(adj.)好奇的
curl,(v.)使(頭髮)捲曲
curl,(n.)捲毛、捲髮
currency,(n.)通貨、貨幣
current,(adj.)現行的
current,(n.)水流、電流
curriculum,(n.)學校的全部課程
curry,(n.)咖喱
curry,(v.)梳刷(馬等)、鞣製、用咖喱燒
curse,(n.)咒語、詛咒
curse,(v.)詛咒、咒罵
curtain,(n.)窗簾、(舞臺上的)幕
curtain,(v.)(用簾子)遮掉、隔開
curve,(n.)曲線
curve,(v.)使彎曲、使成曲線
cushion,(v.)緩和...的衝擊
cushion,(n.)墊子、坐墊
custom,(n.)習俗
customary,(adj.)習慣上的、按慣例的
customer,(n.)顧客
customs,(n.)關稅、報關手續、海關出入境口
cut,(v.)切割、剪
cut,(n.)傷口、刻痕、削減、近路、曠課
cute,(adj.)可愛的
cycle,(n.)週期、循環
cycle,(v.)循環、輪轉
dad,(n.)父親
daddy,(n.)父親
daffodil,(n.)黃水仙花、淡黃色
daily,(n.)日報
daily,(adv.)每日
daily,(adj.)每日的
dairy,(n.)牛奶店、牛奶及乳品業
dam,(n.)水壩
dam,(v.)築壩於、築壩攔(水)
damage,(v.)損害
damage,(n.)損害
damn,(v.)罵...該死、咒罵
damn,(n.)詛咒
damp,(v.)使潮濕、使沮喪、抑制
damp,(n.)濕氣、潮濕
damp,(adj.)有濕氣的、潮濕的
dance,(n.)舞會
dance,(v.)跳舞
dancer,(n.)舞蹈演員、舞蹈家
dandruff,(n.)頭皮屑
danger,(n.)危險
dangerous,(adj.)危險的
dare,(v.)敢、膽敢
dare,(v.)敢、竟敢
dark,(n.)黑暗、暗處、曖昧、隱晦
dark,(adj.)黑暗的
darken,(v.)使變暗、變黑
darling,(n.)心愛的人
darling,(adj.)親愛的、心愛的、寵愛的
dart,(v.)投擲(標槍等)、投射、狂奔
dart,(n.)標槍、鏢、飛奔
dash,(v.)使(希望等)破滅、使沮喪
dash,(n.)急衝、奔跑、破折號
data,(n.)資料、數據
date,(v.)約會
date,(n.)日期
daughter,(n.)女兒
dawn,(v.)破曉、 頓悟
dawn,(n.)黎明
day,(n.)白天、日
daybreak,(n.)黎明、破曉
dazzle,(n.)耀眼的光、令人讚歎的東西
dazzle,(v.)使眼花、使驚羨
dead,(adj.)死的
deadline,(n.)最後限期
deadly,(adj.)致命的、致死的、非常的、極度的
deadly,(adv.)死一般地、非常、極度地
deaf,(adj.)聾的
deafen,(v.)使聾、淹沒(聲音)
deal,(v.)處理、對付、對待[(+with)]
deal,(n.)交易
dealer,(n.)業者、商人、發牌者
dear,(adv.)疼愛地、高價地、昂貴地
dear,(n.)(常作稱呼)親愛的(人)
dear,(adj.)親愛的
death,(n.)死亡
debate,(v.)辯論
debate,(n.)辯論
debt,(n.)債、借款
decade,(n.)十、十年
decay,(n.)腐爛、蛀牙
decay,(v.)腐朽、衰退
deceive,(v.)欺騙、蒙蔽
decent,(adj.)正派的、體面的
decide,(v.)決定
decision,(n.)決定
decisive,(adj.)決定性的、確定的、果斷的
deck,(n.)(船的) 艙面、甲板、(紙牌的)一副
declaration,(n.)宣佈、宣告、宣言、聲明
declare,(v.)宣佈、宣告
decline,(v.)下降、下跌、衰退、婉拒、謝絕
decline,(n.)下降、減少、衰退、傾斜
decorate,(v.)佈置
decoration,(n.)裝飾、裝潢
decrease,(v.)減少
decrease,(n.)減少、減小、減少額、減小量
dedicate,(v.)奉獻、獻身於、舉行落成典禮
dedication,(n.)奉獻、揭幕儀式、獻身
deed,(n.)契據、證書
deem,(v.)認為、視作
deep,(adv.)深深地、晚、遲
deep,(adj.)深的
deepen,(v.)使加深、使強烈、使變濃
deer,(n.)鹿
defeat,(v.)戰勝、擊敗
defeat,(n.)失敗、戰敗、挫折
defect,(n.)缺點、缺陷、不足之處
defect,(v.)逃跑、脫離、背叛
defend,(v.)防禦、保衛、保護
defense,(n.)防禦、保衛、防護
defensible,(adj.)可防禦的、可辯護的
defensive,(adj.)防禦的
deficiency,(n.)不足、缺陷、缺點
define,(v.)解釋、給...下定義
definite,(adj.)明確的、確切的
definition,(n.)定義、釋義
degrade,(v.)貶低、降級、降低
degree,(n.)程度
delay,(v.)延緩、使延期
delay,(n.)延遲、耽擱
delegate,(n.)代表、會議代表
delegate,(v.)委派...為代表
delegation,(n.)授權、代表團
deliberate,(v.)仔細考慮、商議
deliberate,(adj.)深思熟慮的、蓄意的
delicate,(adj.)易碎的、嬌貴的
delicious,(adj.)好吃的
delight,(v.)使高興
delight,(n.)欣喜、愉快
delightful,(adj.)令人愉快的、令人高興的
delinquent,(adj.)怠忽職守的、拖欠的、犯法的
delinquent,(n.)青少年罪犯、違法者
deliver,(v.)遞送、發表、講、給……接生
delivery,(n.)投遞、傳送
demand,(v.)要求、請求
demand,(n.)要求、請求
democracy,(n.)民主
democrat,(n.)民主主義者
democratic,(adj.)有民主精神的
demonstrate,(v.)示範操作(產品)、展示
demonstration,(n.)實地示範
denial,(n.)否認、拒絕
denounce,(v.)譴責、告發
dense,(adj.)密集的、稠密的
density,(n.)密度
dental,(adj.)牙齒的、牙科的
dentist,(n.)牙醫
deny,(v.)否定、否認
depart,(v.)起程、出發、離開、離去
department,(n.)部門
departure,(n.)離開、出發、起程
depend,(v.)依賴
dependable,(adj.)可靠的、可信任的
dependent,(n.)受撫養者
dependent,(adj.)依靠的、依賴的
depict,(v.)描畫、雕出、描述
deposit,(v.)放下、放置、寄存
deposit,(n.)存款
depress,(v.)使沮喪
depression,(n.)沮喪、意氣消沈
deprive,(v.)剝奪
depth,(n.)深度、厚度
deputy,(n.)代表、代理人、副職、副手
derive,(v.)取得、衍生出
descend,(v.)(走)下來、下降、來自於
descendant,(n.)後裔、從某一來源傳下的東西
descent,(n.)下降、下傾、血統
describe,(v.)描述
description,(n.)敘述、形容
descriptive,(adj.)描寫的、描述性的
desert,(v.)遺棄、離棄、逃跑
desert,(n.)沙漠、(常複數)賞罰、(尤指)懲罰
deserve,(v.)應受、該得
design,(n.)圖案、設計
design,(v.)設計
designate,(v.)標出、指定、定名為、委任
designate,(adj.)指定的
designer,(n.)設計者、構思者、時裝設計師
desirable,(adj.)值得嚮往的、富有魅力的
desire,(n.)渴望
desire,(v.)渴望、要求、想與...發生性關係
desk,(n.)書桌
despair,(v.)絕望、喪失信心
despair,(n.)絕望
desperate,(adj.)極度渴望的
despise,(v.)鄙視
despite,(prep.)不管、儘管、任憑
dessert,(n.)餐後甜點
destination,(n.)目的地、終點
destined,(adj.)命中注定的、(場所)預定的
destiny,(n.)命運、天數
destroy,(v.)毀壞、破壞
destruction,(n.)破壞、毀滅、消滅
destructive,(adj.)破壞的、毀滅性的
detach,(v.)分開、拆卸、派遣
detail,(v.)詳述、詳細說明
detail,(n.)細節、詳情
detain,(v.)留住、扣留
detect,(v.)查出
detective,(adj.)偵查用的、探測用的
detective,(n.)偵探、私家偵探
deter,(v.)嚇住、使斷念
detergent,(n.)洗潔劑、洗衣粉
deteriorate,(v.)惡化、(價值)下降、退化、墮落
determination,(n.)堅定、果斷
determine,(v.)決定
devalue,(v.)降低價值、(貨幣)貶值
develop,(v.)發展
development,(n.)生長、發展
device,(n.)儀器、裝置
devil,(n.)魔鬼、惡魔
devise,(v.)設計、發明
devote,(v.)將...奉獻
devotion,(n.)奉獻
devour,(v.)狼吞虎嚥地吃、吞沒
dew,(n.)露水、朝氣
diabetes,(n.)糖尿病
diagnose,(v.)診斷
diagnosis,(n.)診斷、診斷書、調查分析
diagram,(n.)圖表、(曲)線圖
diagram,(v.)用圖解法表示、圖示
dial,(n.)刻度盤、調節器、撥號盤
dial,(v.)撥(電話號碼)
dialect,(n.)方言
dialogue,(n.)對話、交談
diameter,(n.)直徑
diamond,(n.)鑽石
diaper,(n.)尿布
diary,(n.)日記
dictate,(v.)口授、口述、
dictation,(n.)口述、聽寫
dictator,(n.)獨裁者
dictionary,(n.)字典
die,(v.)死
diet,(v.)節食
diet,(n.)飲食、特種飲食
differ,(v.)不同、相異
difference,(n.)差別
different,(adj.)不同的
differentiate,(v.)構成差別、區分
difficult,(adj.)困難的
difficulty,(n.)困難
dig,(v.)挖掘
dig,(n.)刺、戳、碰、挖苦
digest,(v.)消化(食物)
digest,(n.)消化
digestion,(n.)消化、(知識等的)領悟、吸收
digital,(adj.)數字的
dignity,(n.)尊嚴
dilemma,(n.)困境、進退兩難
diligence,(n.)勤勉、勤奮
diligent,(adj.)勤勉的
dim,(adj.)微暗的、暗淡的
dim,(v.)變暗淡、變模糊
dime,(n.)一角硬幣
dimension,(n.)(長、寬、厚、高等的)尺寸、大小
diminish,(v.)減少、減小、縮減
dine,(v.)進餐、用餐
dinner,(n.)晚餐
dinosaur,(n.)恐龍
dip,(n.)(價格的)下跌
dip,(v.)浸、泡
diploma,(n.)畢業文憑
diplomacy,(n.)外交、外交手腕
diplomat,(n.)外交官
diplomatic,(adj.)外交的、有外交手腕的
direct,(adj.)直接的
direct,(v.)指引
direct,(adv.)筆直地、直接地、直達地
direction,(n.)方向、 指示
director,(n.)董事、局長、主任、導演
directory,(n.)姓名住址簿、使用手冊
dirt,(n.)污物、爛泥、灰塵
dirty,(v.)弄髒、 變髒
dirty,(adj.)骯髒的
disability,(n.)無能、殘障
disable,(v.)使失去能力、使傷殘
disadvantage,(v.)使處於不利地位
disadvantage,(n.)不利條件
disagree,(v.)不一致、不符
disagreement,(n.)意見不一、不一致
disappear,(v.)消失
disappoint,(v.)使失望
disappointment,(n.)失望、掃興、沮喪
disapprove,(v.)不贊成、不同意
disaster,(n.)災害、災難、不幸
disastrous,(adj.)災害的、悲慘的
disbelief,(n.)不信、懷疑
disc,(n.)圓盤、盤狀物、磁盤、鐵餅
discard,(n.)拋棄、丟棄
discard,(v.)拋棄、摒棄、丟棄
discharge,(n.)卸貨、發射、排出、釋放、解雇
discharge,(v.)卸貨、發射、排出、釋放、解雇
disciple,(n.)信徒、門徒
disciplinary,(adj.)訓練的、紀律的、懲戒的
discipline,(v.)懲戒
discipline,(n.)紀律、風紀、教養
disclose,(v.)使露出、揭發、透露
disclosure,(n.)透露、揭發的事情
disco,(n.)迪斯科音樂
discomfort,(n.)不舒服、不安
discomfort,(v.)使不舒服、使不安
disconnect,(v.)切斷(電話、電源等)
discotheque,(n.)小舞廳、迪斯科舞廳
discount,(v.)將...打折扣
discount,(n.)折扣
discourage,(v.)使洩氣、使沮喪
discouragement,(n.)沮喪、氣餒、洩氣、勸阻
discover,(v.)發現
discovery,(n.)發現
discreet,(adj.)謹慎的、謙虛的、不引人注意的
discriminate,(v.)歧視、區分出
discrimination,(n.)歧視、辨別力
discuss,(v.)討論
discussion,(n.)討論
disease,(n.)病、疾病
disgrace,(v.)使丟臉
disgrace,(n.)恥辱、丟臉的事(或人)
disgraceful,(adj.)不名譽的、可恥的
disguise,(v.)掩飾、隱瞞
disguise,(n.)假扮、偽裝
disgust,(v.)使作嘔
disgust,(n.)厭惡、憎惡
dish,(v.)盛...於盤中
dish,(n.)盤子、一盤菜
dishonest,(adj.)不誠實的
disk,(n.)圓盤、(電腦)磁盤
dislike,(v.)不喜愛、厭惡
dislike,(n.)不喜愛、厭惡
dismantle,(v.)去掉覆蓋物、拆除
dismay,(n.)驚慌、沮喪
dismay,(v.)使驚慌、使沮喪
dismiss,(v.)解散、遣散、解雇、開除
disorder,(v.)使混亂、擾亂
disorder,(n.)混亂、無秩序、 不適、小病
dispatch,(v.)派遣、發送
dispatch,(n.)派遣、發送
dispensable,(adj.)非必要的、可分配的
dispense,(v.)分配、執行、配(藥)
disperse,(v.)驅散、解散、散佈
displace,(v.)迫使離開、取代、免職
display,(v.)陳列、展出
display,(n.)展覽、陳列
displease,(v.)使不高興、得罪
disposable,(adj.)可任意處理的、用完即丟棄的
disposable,(n.)用完即丟棄的物品(如紙尿布)
disposal,(n.)處理、(自由)處置權
dispose,(v.)配置、處置
dispute,(v.)爭論、爭執
dispute,(n.)爭論、爭執、爭端
disregard,(n.)漠視
disregard,(v.)漠視
